chromosome	start	end	length	SV
Chr2	14952467	14952861	394	DUP
Chr2	15110054	15110323	269	DUP
Chr2	15134224	15134772	548	DUP
Chr2	15140415	15140656	241	DUP
Chr2	14903628	14903689	61	INS
Chr2	15212525	15212766	241	DEL
Chr2	15371099	15371877	778	TL
Chr2	15413435	15413538	103	DEL
Chr2	15402121	15402397	276	DUP
Chr2	15448698	15449105	407	DUP
Chr2	15448699	15449115	416	DUP
Chr2	15448739	15449084	345	DUP
Chr2	15566811	15568057	1246	DUP
Chr2	15803401	15803548	147	DUP
Chr2	15884589	15885121	532	DUP
Chr2	15972321	15972568	247	TL
Chr2	16302438	16302558	120	DEL
Chr2	16339581	16339641	60	DEL
Chr2	16373129	16373517	388	DUP
Chr2	16379569	16380798	1229	DUP
Chr2	16456092	16456158	66	DEL
Chr2	16552993	16553052	59	DEL
Chr2	16318714	16318764	50	INS
Chr2	16709030	16710742	1712	DEL
Chr2	16596220	16596539	319	DUP
Chr2	16596227	16596532	305	DUP
Chr2	16542989	16543290	301	INS
Chr2	16842694	16842748	54	DEL
Chr2	16876084	16876817	733	TL
Chr2	16876087	16877051	964	DUP
Chr2	16876421	16877148	727	TL
Chr2	16909342	16909392	50	DEL
Chr2	16917355	16917716	361	DUP
Chr2	16920889	16921713	824	DUP
Chr2	16953030	16953393	363	TL
Chr2	17092683	17095525	2842	TL
Chr2	17107889	17108156	267	TL
Chr2	16915207	16915877	670	INS
Chr2	16965092	16965151	59	INS
Chr2	17253186	17255070	1884	DUP
Chr2	17254913	17255234	321	TL
Chr2	17289378	17289539	161	DEL
Chr2	17299411	17300066	655	DUP
Chr2	17299421	17300164	743	DUP
Chr2	17337532	17345018	7486	TL
Chr2	17065124	17065195	71	INS
Chr2	17110885	17111137	252	INS
Chr2	17545761	17546800	1039	DEL
Chr2	17378406	17379271	865	INS
Chr2	17415552	17416684	1132	DUP
Chr2	17417950	17419425	1475	DUP
Chr2	17487161	17489023	1862	DUP
Chr2	17749909	17750000	91	INS
Chr2	17758339	17759379	1040	INS
Chr2	17952272	17952522	250	DUP
Chr2	18091979	18092382	403	DUP
Chr2	18115407	18115460	53	DEL
Chr2	18165559	18166104	545	DUP
Chr2	18306292	18306462	170	INS
Chr2	18398550	18398910	360	DUP
Chr2	18663421	18663762	341	DUP
Chr2	18878333	18878390	57	DEL
Chr2	18959719	18959813	94	DEL
Chr2	19100452	19100519	67	DEL
Chr2	19011740	19012006	266	INS
Chr2	19195398	19195713	315	DUP
Chr2	19195408	19195839	431	DUP
Chr2	19468147	19468573	426	DEL
Chr2	19413916	19414493	577	DUP
Chr2	19493152	19493208	56	DEL
Chr2	19225925	19225979	54	INS
Chr2	19698032	19698217	185	DUP
Chr3	1	155	154	TL
Chr3	129184	130751	1567	TL
Chr3	391276	391326	50	INS
Chr3	538808	538876	68	DEL
Chr3	987049	987564	515	DUP
Chr3	1031480	1031554	74	DEL
Chr3	1046221	1046928	707	INS
Chr3	1071106	1071623	517	DUP
Chr3	1071106	1071623	517	DUP
Chr3	1178263	1178315	52	INS
Chr3	1378740	1378805	65	INS
Chr3	1341712	1342239	527	DUP
Chr3	1445164	1445350	186	DUP
Chr3	1535726	1536048	322	DUP
Chr3	1555424	1557441	2017	DUP
Chr3	1571380	1572136	756	DUP
Chr3	1588145	1588201	56	INS
Chr3	1592353	1592424	71	INS
Chr3	1729081	1729219	138	INS
Chr3	1718636	1719407	771	DEL
Chr3	1607056	1607544	488	DUP
Chr3	1860996	1861055	59	DEL
Chr3	1824611	1825168	557	DUP
Chr3	1855903	1856005	102	DUP
Chr3	1924053	1924320	267	DUP
Chr3	1959461	1959855	394	DUP
Chr3	1963358	1963431	73	DEL
Chr3	1982630	1983137	507	INS
Chr3	2205557	2205880	323	DUP
Chr3	2259576	2259752	176	DUP
Chr3	2259792	2260954	1162	DUP
Chr3	2579136	2579248	112	INS
Chr3	2589423	2589485	62	INS
Chr3	2628485	2629029	544	DUP
Chr3	2629034	2629682	648	DUP
Chr3	2629663	2630001	338	DUP
Chr3	2629998	2630248	250	DUP
Chr3	2813249	2813391	142	INS
Chr3	2808416	2818902	10486	TL
Chr3	2849464	2849777	313	DEL
Chr3	2922180	2923290	1110	TL
Chr3	3080024	3080591	567	DUP
Chr3	3119346	3119954	608	DUP
Chr3	3120034	3121216	1182	DUP
Chr3	3121297	3121776	479	DUP
Chr3	3121493	3122101	608	DUP
Chr3	3453193	3453254	61	DEL
Chr3	3468949	3469021	72	INS
Chr3	3122732	3122966	234	DUP
Chr3	3123505	3124655	1150	DUP
Chr3	3268240	3268649	409	DUP
Chr3	3478252	3479263	1011	DUP
Chr3	3478252	3479263	1011	DUP
Chr3	3495495	3495646	151	DEL
Chr3	3716341	3717126	785	DUP
Chr3	3716342	3717212	870	DUP
Chr3	3716366	3717213	847	DUP
Chr3	3716481	3717212	731	TL
Chr3	3727791	3728288	497	DUP
Chr3	3807306	3812644	5338	TL
Chr3	3837765	3838972	1207	DUP
Chr3	3873967	3874590	623	DUP
Chr3	3987678	3988437	759	DUP
Chr3	4077831	4077918	87	INS
Chr3	4088496	4089012	516	DUP
Chr3	4126510	4126648	138	DEL
Chr3	4263172	4263233	61	INS
Chr3	4274929	4289113	14184	TL
Chr3	4274930	4275550	620	DUP
Chr3	4287541	4289110	1569	DUP
Chr3	4494090	4494359	269	DUP
Chr3	4497615	4497789	174	DUP
Chr3	4551550	4552317	767	DUP
Chr3	4571478	4571549	71	DEL
Chr3	4579239	4579704	465	DUP
Chr3	4724585	4725683	1098	DEL
Chr3	4727452	4728237	785	DUP
Chr3	4728261	4729068	807	DUP
Chr3	4927901	4928646	745	DUP
Chr3	4931080	4931773	693	DUP
Chr3	5152951	5156658	3707	DUP
Chr3	5153532	5156660	3128	DUP
Chr3	5277965	5286732	8767	TL
Chr1	17967039	17966964	75	INS
Chr3	5297020	5297074	54	DEL
Chr3	5566725	5566780	55	DEL
Chr3	5521780	5522995	1215	DUP
Chr3	5584481	5584794	313	DUP
Chr3	5838402	5838750	348	INS
Chr3	5622090	5622560	470	DUP
Chr3	5651127	5652443	1316	DUP
Chr3	5743843	5745923	2080	DUP
Chr3	5839310	5840254	944	DUP
Chr3	5929425	5929909	484	DUP
Chr3	5929634	5930703	1069	DUP
Chr3	5933367	5933462	95	INS
Chr3	6002164	6002219	55	INS
Chr3	6125288	6125343	55	INS
Chr3	6486327	6487245	918	DUP
Chr3	6513233	6513317	84	INS
Chr3	6571006	6571487	481	DEL
Chr3	6602984	6603074	90	INS
Chr3	6542556	6544147	1591	DUP
Chr3	6684082	6684410	328	TL
Chr3	6684091	6684410	319	DUP
Chr3	6735908	6736002	94	DEL
Chr3	6771338	6771390	52	DEL
Chr3	6728921	6729497	576	DUP
Chr3	6940599	6941484	885	DUP
Chr3	6940599	6941485	886	DUP
Chr3	6991498	6992371	873	TL
Chr3	6992119	6992366	247	DUP
Chr3	6992363	6992786	423	DUP
Chr3	6992785	6993210	425	TL
Chr3	7117594	7118602	1008	INS
Chr3	7123080	7123134	54	DEL
Chr3	7286698	7286995	297	DUP
Chr3	7286699	7286995	296	DUP
Chr3	7286699	7286995	296	DUP
Chr3	7286701	7286995	294	DUP
Chr3	7342840	7343199	359	DUP
Chr3	7658926	7659526	600	DUP
Chr3	7785884	7786454	570	DUP
Chr3	7850504	7851837	1333	DUP
Chr3	7855338	7860517	5179	TL
Chr3	7856076	7856503	427	DUP
Chr3	7936971	7937571	600	DUP
Chr3	7936978	7937562	584	DUP
Chr3	7936981	7937568	587	DUP
Chr3	7936982	7937571	589	TL
Chr3	7951844	7951902	58	DEL
Chr3	7994829	7996650	1821	DUP
Chr3	8003366	8003674	308	DUP
Chr3	8129774	8130847	1073	DUP
Chr3	8130847	8131476	629	DUP
Chr3	8170958	8174402	3444	INS
Chr3	8188933	8189175	242	DUP
Chr3	8188933	8189246	313	DUP
Chr3	8209798	8209927	129	DUP
Chr3	8211428	8211996	568	TL
Chr3	8492128	8493098	970	DUP
Chr3	8596103	8596968	865	TL
Chr3	8608640	8608805	165	INS
Chr3	8638167	8638363	196	DEL
Chr3	8674785	8675191	406	DUP
Chr3	8684947	8685093	146	TL
Chr3	8842970	8846544	3574	DUP
Chr3	8846543	8858232	11689	DUP
Chr3	8874894	8875675	781	TL
Chr3	8894162	8894523	361	DEL
Chr3	8948822	8948876	54	INS
Chr3	8985633	8985802	169	DEL
Chr3	9030988	9031039	51	DEL
Chr3	9043048	9043104	56	DEL
Chr3	9099159	9102001	2842	DUP
Chr3	9106913	9108943	2030	DUP
Chr3	9110044	9112912	2868	DUP
Chr3	9171881	9171982	101	DUP
Chr3	9194022	9194175	153	DEL
Chr3	9226632	9231377	4745	DUP
Chr3	9226633	9231377	4744	TL
Chr3	9258294	9258408	114	INS
Chr3	9291695	9291751	56	INS
Chr3	9381253	9381540	287	DUP
Chr3	9385008	9385374	366	DUP
Chr3	9385541	9386343	802	DUP
Chr3	9434883	9436676	1793	TL
Chr3	9442390	9444593	2203	DUP
Chr3	9444591	9444939	348	DUP
Chr3	9446682	9450472	3790	DUP
Chr3	9526437	9526509	72	DEL
Chr3	9471171	9472117	946	DUP
Chr3	9471171	9472117	946	DUP
Chr3	9540512	9541251	739	DUP
Chr3	9556135	9556528	393	DUP
Chr3	9557489	9557808	319	DUP
Chr3	9558203	9559684	1481	TL
Chr3	9524137	9528851	4714	INS
Chr3	9530333	9530400	67	INS
Chr3	9559242	9559688	446	INS
Chr3	9607282	9613216	5934	DUP
Chr3	9613221	9625558	12337	TL
Chr3	9643653	9643768	115	INS
Chr3	9664878	9665523	645	DUP
Chr3	9723883	9736152	12269	DUP
Chr3	9734445	9736153	1708	TL
Chr3	9767682	9768104	422	DUP
Chr3	9767682	9768104	422	DUP
Chr3	9808122	9809188	1066	DUP
Chr3	9861864	9862114	250	DUP
Chr3	9976774	9976866	92	DEL
Chr3	9940140	9940222	82	INS
Chr3	9981930	9982213	283	DEL
Chr3	10050741	10050960	219	DEL
Chr3	10082060	10082827	767	DUP
Chr3	10166811	10169141	2330	DUP
Chr3	10177350	10177779	429	DUP
Chr3	10293245	10294326	1081	DUP
Chr3	10320411	10321442	1031	DUP
Chr3	10331757	10331811	54	INS
Chr3	10354354	10354458	104	INS
Chr3	10393270	10396891	3621	DUP
Chr3	10397488	10398314	826	DUP
Chr3	10402595	10404153	1558	DUP
Chr3	10404271	10404812	541	DUP
Chr3	10404825	10405253	428	DUP
Chr3	10371327	10371761	434	INS
Chr3	10414024	10414639	615	TL
Chr3	10414788	10415389	601	DUP
Chr3	10416875	10417673	798	TL
Chr3	10432538	10433080	542	DUP
Chr3	10405875	10406040	165	INS
Chr3	10496317	10496814	497	DUP
Chr3	10494220	10495843	1623	INS
Chr3	10554531	10574045	19514	TL
Chr3	10557077	10557347	270	DUP
Chr3	10574347	10575083	736	DUP
Chr3	10577158	10581824	4666	DEL
Chr3	10584064	10584955	891	DUP
Chr3	10585478	10585977	499	DUP
Chr3	10585690	10585976	286	DUP
Chr3	10536324	10536551	227	INS
Chr3	10642720	10642863	143	DUP
Chr3	10681384	10681953	569	DUP
Chr3	10694932	10706804	11872	INV
Chr3	10708625	10709180	555	DUP
Chr3	10722085	10722137	52	DEL
Chr3	10718344	10719012	668	DUP
Chr3	10767226	10772447	5221	DUP
Chr3	10776368	10777000	632	DUP
Chr3	10809929	10813115	3186	DUP
Chr3	10862401	10863661	1260	DUP
Chr3	10946430	10947200	770	DUP
Chr3	10965000	10965173	173	DUP
Chr3	10912583	10912691	108	INS
Chr3	10917636	10917710	74	INS
Chr3	10991679	10991751	72	DEL
Chr3	11016111	11020804	4693	DEL
Chr3	10997181	10997653	472	DUP
Chr3	11055269	11055896	627	DUP
Chr3	11055896	11062358	6462	DUP
Chr3	11090439	11091004	565	DUP
Chr3	11097260	11098480	1220	DUP
Chr3	11097260	11098480	1220	TL
Chr3	11098505	11099626	1121	DUP
Chr3	11103487	11103643	156	DEL
Chr3	11132226	11132745	519	TL
Chr3	11079958	11080009	51	INS
Chr3	11121971	11122082	111	INS
Chr3	11122971	11123024	53	INS
Chr3	11210230	11210444	214	DEL
Chr3	11212843	11212910	67	DEL
Chr3	11177851	11178791	940	DUP
Chr3	11195884	11196458	574	DUP
Chr3	11199811	11204020	4209	DUP
Chr3	11199811	11204022	4211	DUP
Chr3	11200623	11201180	557	DUP
Chr3	11217494	11218008	514	DUP
Chr3	11218785	11222592	3807	DEL
Chr3	11194761	11194885	124	INS
Chr3	11208698	11208763	65	INS
Chr3	11228746	11228950	204	INS
Chr3	11270776	11271158	382	DUP
Chr3	11282425	11283595	1170	DUP
Chr3	11285037	11285465	428	DUP
Chr3	11306007	11308696	2689	DUP
Chr3	11321530	11322115	585	TL
Chr3	11322145	11324475	2330	DUP
Chr3	11324474	11327436	2962	TL
Chr3	11329867	11329991	124	DEL
Chr3	11309168	11309816	648	INS
Chr3	11331263	11334574	3311	DUP
Chr3	11333294	11334184	890	DEL
Chr3	11334438	11334682	244	DEL
Chr3	11335551	11341895	6344	TL
Chr3	11345758	11345933	175	DUP
Chr3	11346241	11347652	1411	TL
Chr3	11352478	11352871	393	DUP
Chr3	11353492	11354159	667	DUP
Chr3	11354159	11354259	100	TL
Chr3	11354962	11355027	65	DEL
Chr3	11357294	11357351	57	DEL
Chr3	11369866	11370130	264	DUP
Chr3	11370127	11370359	232	DUP
Chr3	11370358	11370572	214	DUP
Chr3	11375887	11376922	1035	DEL
Chr3	11378300	11378696	396	DUP
Chr3	11378751	11379149	398	DUP
Chr3	11379204	11379602	398	DUP
Chr3	11379653	11380056	403	DUP
Chr3	11380107	11380508	401	DUP
Chr3	11381084	11381787	703	TL
Chr3	11392991	11394418	1427	DUP
Chr3	11394097	11395171	1074	INS
Chr3	11397497	11397579	82	INS
Chr3	11410680	11413614	2934	DUP
Chr3	11416918	11424475	7557	TL
Chr4	5239601	5239683	82	INS
Chr4	5240395	5240495	100	INS
Chr3	11418265	11423813	5548	DUP
Chr3	11446148	11446204	56	DEL
Chr3	11420773	11420859	86	INS
Chr3	11450578	11451653	1075	DUP
Chr3	11468500	11469775	1275	DEL
Chr3	11484031	11484298	267	DEL
Chr3	11486163	11486283	120	DUP
Chr3	11467385	11467593	208	INS
Chr3	11495697	11496289	592	DUP
Chr3	11497059	11497918	859	TL
Chr3	11497781	11499222	1441	TL
Chr3	11499938	11500172	234	DUP
Chr3	11500170	11500547	377	DUP
Chr3	11500939	11501658	719	TL
Chr3	11503188	11503761	573	DUP
Chr3	11503292	11503761	469	TL
Chr3	11505262	11508519	3257	DUP
Chr3	11505207	11505521	314	INS
Chr3	11550888	11551167	279	INS
Chr3	11516440	11521867	5427	DUP
Chr3	11541285	11544049	2764	DUP
Chr3	11552036	11553382	1346	DUP
Chr3	11553407	11553786	379	DUP
Chr3	11553478	11553787	309	DUP
Chr3	11575314	11575642	328	TL
Chr3	11602486	11603490	1004	DUP
Chr3	11633222	11634021	799	DUP
Chr3	11634017	11638255	4238	DUP
Chr3	11647707	11648029	322	DUP
Chr3	11657864	11660581	2717	DUP
Chr3	11657867	11660576	2709	DUP
Chr3	11664969	11669787	4818	DUP
Chr3	11664969	11669788	4819	TL
Chr3	11669894	11669945	51	DEL
Chr3	11674942	11675948	1006	DUP
Chr3	11676642	11678192	1550	DUP
Chr3	11678181	11678764	583	DUP
Chr3	11681555	11682505	950	DUP
Chr3	11684192	11685920	1728	DUP
Chr3	11686284	11689821	3537	DUP
Chr3	11609462	11609841	379	INS
Chr3	11708573	11709324	751	DUP
Chr3	11708573	11711749	3176	DUP
Chr3	11723075	11724229	1154	DUP
Chr3	11724827	11725049	222	DEL
Chr3	11726360	11727006	646	TL
Chr3	11726886	11727555	669	DUP
Chr3	11651597	11651687	90	INS
Chr3	11741605	11742041	436	DUP
Chr3	11657941	11657991	50	INS
Chr3	11760705	11761024	319	DEL
Chr3	11764160	11764643	483	DUP
Chr3	11764341	11765665	1324	DUP
Chr3	11767053	11774598	7545	DUP
Chr3	11826832	11827061	229	DUP
Chr3	11827656	11828018	362	DUP
Chr3	11830986	11831618	632	DUP
Chr3	11739879	11740051	172	INS
Chr3	11863230	11864306	1076	DUP
Chr3	11868683	11869807	1124	DUP
Chr3	11882161	11882658	497	DUP
Chr3	11893175	11894008	833	DUP
Chr3	11899468	11899521	53	DEL
Chr3	11937285	11937563	278	DUP
Chr3	11937763	11938877	1114	DUP
Chr3	11938898	11939163	265	DUP
Chr3	11939163	11939880	717	DUP
Chr3	11940175	11940872	697	DUP
Chr3	11941444	11945026	3582	DUP
Chr3	11960046	11960295	249	TL
Chr3	11963395	11964170	775	DUP
Chr3	11966125	11967041	916	DUP
Chr3	11967657	11968332	675	DUP
Chr3	11968331	11968618	287	DUP
Chr3	11969578	11970078	500	TL
Chr3	11972124	11973048	924	DUP
Chr3	11997443	11998394	951	DUP
Chr3	11998392	11999374	982	DUP
Chr3	12000269	12000669	400	DUP
Chr3	12038423	12039049	626	DEL
Chr3	11967315	11968593	1278	INS
Chr3	11993308	11993455	147	INS
Chr3	12052620	12053239	619	DUP
Chr3	12077631	12082572	4941	DUP
Chr3	12079446	12086763	7317	DUP
Chr3	12054757	12055343	586	INS
Chr3	12171590	12172284	694	DUP
Chr3	12171973	12172250	277	DUP
Chr3	12175457	12176410	953	DUP
Chr3	12175457	12176410	953	DUP
Chr3	12188657	12189363	706	DUP
Chr3	12194143	12194762	619	DUP
Chr3	12203186	12203967	781	TL
Chr3	12207115	12207574	459	DUP
Chr3	12207147	12208433	1286	DUP
Chr3	12207147	12209594	2447	DUP
Chr3	12209617	12211825	2208	DUP
Chr3	12211825	12212003	178	DUP
Chr3	12211825	12214922	3097	DUP
Chr3	12211825	12225827	14002	DUP
Chr3	12212109	12212789	680	DUP
Chr3	12224087	12225833	1746	TL
Chr3	12225830	12226933	1103	DUP
Chr3	12226108	12232750	6642	DUP
Chr3	12147004	12149244	2240	INS
Chr3	12243854	12247453	3599	TL
Chr3	12243987	12245247	1260	DUP
Chr3	12244172	12249668	5496	DUP
Chr3	12245164	12253082	7918	TL
Chr3	12253532	12254938	1406	DUP
Chr3	12253533	12254938	1405	DUP
Chr3	12254929	12255283	354	TL
Chr3	12256495	12257657	1162	DUP
Chr3	12256895	12259605	2710	DUP
Chr3	12280615	12281168	553	DEL
Chr3	12302161	12302798	637	DUP
Chr3	12312885	12314003	1118	DUP
Chr3	12312886	12314640	1754	DUP
Chr3	12313402	12313918	516	DUP
Chr3	12252432	12252486	54	INS
Chr3	12363276	12366036	2760	DEL
Chr3	12309052	12309352	300	INS
Chr3	12311332	12311389	57	INS
Chr3	12327362	12331985	4623	DUP
Chr3	12328389	12328927	538	DUP
Chr3	12342436	12343916	1480	DUP
Chr3	12391646	12391716	70	DEL
Chr3	12392864	12396921	4057	DUP
Chr3	12397024	12397820	796	DUP
Chr3	12397634	12399319	1685	DUP
Chr3	12401720	12403706	1986	DUP
Chr3	12409999	12413010	3011	DUP
Chr3	12410613	12413095	2482	TL
Chr3	12412576	12414019	1443	DUP
Chr3	12418896	12418956	60	DEL
Chr3	12431457	12432656	1199	DUP
Chr3	12436869	12437254	385	DUP
Chr3	12437686	12439766	2080	DUP
Chr3	12439785	12440362	577	DUP
Chr3	12440221	12442726	2505	DUP
Chr3	12478084	12478317	233	DUP
Chr3	12478085	12479246	1161	DUP
Chr3	12479307	12480623	1316	DUP
Chr3	12479317	12479491	174	DUP
Chr3	12480502	12486244	5742	DUP
Chr3	12482569	12618513	135944	INV
Chr3	12556498	12556437	61	INS
Chr3	12534185	12532845	1340	INS
Chr3	12526062	12526122	60	DEL
Chr3	12520487	12519089	1398	INS
Chr3	12452195	12451764	431	INS
Chr3	12484259	12487113	2854	DUP
Chr3	12501380	12502153	773	DUP
Chr3	12512110	12513618	1508	DUP
Chr3	12533288	12535988	2700	DUP
Chr3	12533288	12538706	5418	DUP
Chr3	12562686	12562925	239	DUP
Chr3	12569073	12571055	1982	DUP
Chr3	12581070	12582090	1020	DUP
Chr3	12581070	12582801	1731	DUP
Chr3	12581070	12582801	1731	DUP
Chr3	12581081	12582291	1210	DUP
Chr3	12581081	12582456	1375	DUP
Chr3	12581578	12582798	1220	DUP
Chr3	12604869	12607070	2201	DUP
Chr3	12610215	12610720	505	DUP
Chr3	12613308	12613882	574	DUP
Chr3	12620383	12620612	229	DUP
Chr3	12638400	12639450	1050	TL
Chr3	12639533	12640089	556	DUP
Chr3	12668917	12670493	1576	DUP
Chr3	12670386	12670625	239	TL
Chr3	12674776	12675621	845	DUP
Chr3	12627569	12627715	146	INS
Chr3	12682357	12683394	1037	INV
Chr3	12684233	12684732	499	DUP
Chr3	12703033	12703381	348	DEL
Chr3	12707349	12708492	1143	DUP
Chr3	12707736	12708492	756	DUP
Chr3	12708734	12713502	4768	DUP
Chr3	12711713	12712921	1208	DUP
Chr3	12711713	12712921	1208	DUP
Chr3	12721976	12722112	136	TL
Chr3	12721976	12722310	334	DUP
Chr3	12722872	12723759	887	DUP
Chr3	12732909	12733924	1015	DEL
Chr3	12678621	12678799	178	INS
Chr3	12740091	12740465	374	DEL
Chr3	12761563	12762244	681	DUP
Chr3	12767117	12768292	1175	DUP
Chr3	12767154	12768291	1137	DUP
Chr3	12781290	12782461	1171	DUP
Chr3	12782463	12783312	849	DUP
Chr3	12792563	12794448	1885	DUP
Chr3	12793881	12794756	875	DUP
Chr3	12798614	12806209	7595	DUP
Chr3	12810181	12813336	3155	TL
Chr3	12818526	12820573	2047	DUP
Chr3	12824501	12826374	1873	DUP
Chr3	12825993	12827137	1144	DUP
Chr3	12827310	12827488	178	DUP
Chr3	12827591	12828164	573	DUP
Chr3	12838135	12839965	1830	DUP
Chr3	12839974	12847069	7095	TL
Chr3	14574782	14574842	60	INS
Chr3	12844958	12845916	958	DEL
Chr3	12840535	12842409	1874	DUP
Chr3	12853595	12854719	1124	DUP
Chr3	12854411	12861863	7452	TL
Chr3	12864989	12867101	2112	DEL
Chr3	12749693	12749789	96	INS
Chr3	12870695	12880837	10142	DUP
Chr3	12873645	12875815	2170	DUP
Chr3	12880210	12881882	1672	DEL
Chr3	12885273	12892532	7259	DUP
Chr3	12887171	12887678	507	DUP
Chr3	12895484	12895543	59	DEL
Chr3	12898536	12898590	54	DEL
Chr3	12901183	12903556	2373	DUP
Chr3	12902615	12904764	2149	DUP
Chr3	12910541	12913194	2653	DUP
Chr3	12914948	12915214	266	DUP
Chr3	12919569	12921280	1711	TL
Chr3	12925996	12926993	997	TL
Chr3	12926909	12927696	787	DUP
Chr3	12931509	12932682	1173	DUP
Chr3	12933029	12933247	218	DUP
Chr3	12946310	12946966	656	TL
Chr3	12946927	12947888	961	DUP
Chr3	12947453	12948808	1355	DUP
Chr3	12948748	12949411	663	DUP
Chr3	12949412	12950330	918	DUP
Chr3	12950585	12953328	2743	DUP
Chr3	12951926	12952830	904	DUP
Chr3	12955606	12955970	364	DUP
Chr3	12960374	12962438	2064	TL
Chr3	12962434	12965112	2678	DUP
Chr3	12965108	12968092	2984	DUP
Chr3	12967314	12968467	1153	DUP
Chr3	12970339	12971069	730	TL
Chr2	10219107	10218819	288	INS
Chr3	12971025	12976674	5649	DUP
Chr3	12971025	12981313	10288	DUP
Chr3	12971025	12981845	10820	TL
Chr3	12977703	12977832	129	DEL
Chr3	12976718	12981845	5127	DUP
Chr3	12976718	12981845	5127	DUP
Chr3	12980475	12981845	1370	DUP
Chr3	12980672	12981847	1175	DUP
Chr3	12981844	12982660	816	TL
Chr3	12982728	12986845	4117	DUP
Chr3	12983186	12987258	4072	TL
Chr3	12987338	12990202	2864	TL
Chr3	12990590	12992152	1562	DUP
Chr3	12991904	12992574	670	DUP
Chr3	12992342	12992792	450	DUP
Chr3	12992684	12993656	972	DUP
Chr3	12993665	13001455	7790	TL
Chr3	12998630	12998686	56	DEL
Chr3	13001816	13015842	14026	DUP
Chr3	13007249	13016583	9334	DUP
Chr3	13019495	13019821	326	DUP
Chr3	13022633	13022736	103	TL
Chr3	13031662	13032277	615	DUP
Chr3	13068030	13068481	451	DUP
Chr3	13072477	13078677	6200	DUP
Chr3	13074597	13078025	3428	TL
Chr3	13079334	13079798	464	DUP
Chr3	13083778	13138778	55000	TL
Chr3	13088133	13090271	2138	DUP
Chr3	13088133	13092844	4711	DUP
Chr3	13090891	13092843	1952	DUP
Chr3	13091630	13092843	1213	DUP
Chr3	13092040	13092189	149	DUP
Chr3	13092042	13092755	713	DUP
Chr3	13092042	13092843	801	DUP
Chr3	13092043	13092843	800	DUP
Chr3	13096391	13096716	325	DUP
Chr3	13102091	13103970	1879	DUP
Chr3	13116266	13123166	6900	DUP
Chr3	13122794	13123165	371	DUP
Chr3	13127611	13128302	691	DUP
Chr3	13139053	13141053	2000	DUP
Chr3	13142713	13143529	816	DUP
Chr3	13148824	13150814	1990	TL
Chr3	13157541	13160027	2486	DUP
Chr3	13159360	13162505	3145	TL
Chr3	13164428	13166284	1856	TL
Chr3	13164470	13168134	3664	DUP
Chr3	13168134	13169292	1158	DUP
Chr3	13168718	13169294	576	DUP
Chr3	13169745	13170284	539	DUP
Chr3	13170106	13170808	702	DUP
Chr3	13171435	13173336	1901	DUP
Chr3	13173435	13176697	3262	DUP
Chr3	13186245	13192486	6241	DUP
Chr3	13186249	13192486	6237	DUP
Chr3	13186250	13187894	1644	DUP
Chr3	13191784	13192419	635	DUP
Chr3	13192936	13194564	1628	DUP
Chr3	13194229	13194566	337	DUP
Chr3	13194565	13194945	380	DUP
Chr3	13194743	13196798	2055	DUP
Chr3	13197730	13198081	351	DUP
Chr3	13198118	13213573	15455	DUP
Chr3	13210641	13212851	2210	DUP
Chr3	13213574	13236146	22572	TL
Chr3	13233630	13240354	6724	DUP
Chr3	13235758	13236448	690	DUP
Chr3	13238003	13238609	606	DUP
Chr3	13240356	13251986	11630	DUP
Chr3	13243333	13245775	2442	DUP
Chr3	13245775	13249076	3301	TL
Chr3	13252420	13257373	4953	DUP
Chr3	13261031	13261804	773	DUP
Chr3	13262327	13262522	195	DUP
Chr3	13264062	13272948	8886	DUP
Chr3	13272944	13275312	2368	DUP
Chr3	13275310	13277151	1841	DUP
Chr3	13277154	13279459	2305	DUP
Chr3	13279456	13281939	2483	DUP
Chr3	13288587	13289178	591	DUP
Chr3	13289178	13293039	3861	DUP
Chr3	13294118	13306025	11907	DUP
Chr3	13300145	13301101	956	DUP
Chr3	13306026	13306161	135	DUP
Chr3	13306159	13306795	636	DUP
Chr3	13307802	13309453	1651	DUP
Chr3	13311960	13314019	2059	DUP
Chr3	13314618	13315294	676	DUP
Chr3	13327434	13328078	644	DUP
Chr3	13327793	13328584	791	TL
Chr3	13328258	13328582	324	TL
Chr3	13332180	13333289	1109	DUP
Chr3	13333292	13334339	1047	DUP
Chr3	13333460	13337558	4098	DUP
Chr3	13337452	13338837	1385	DUP
Chr3	13338881	13342078	3197	TL
Chr3	13341494	13342078	584	DUP
Chr3	13341494	13342078	584	DUP
Chr3	13341494	13342078	584	DUP
Chr3	13341494	13342078	584	DUP
Chr3	13341494	13342078	584	DUP
Chr3	13341494	13342078	584	DUP
Chr3	13342077	13342345	268	DUP
Chr3	13342354	13342517	163	DUP
Chr3	13342533	13343233	700	DUP
Chr3	13343735	13356464	12729	TL
Chr3	13352607	13354154	1547	DUP
Chr3	13356465	13360107	3642	DUP
Chr3	13360111	13368310	8199	TL
Chr3	13360161	13368273	8112	DUP
Chr3	13368310	13369173	863	DUP
Chr3	13369174	13374107	4933	DUP
Chr3	13374108	13375422	1314	DUP
Chr3	13377121	13377402	281	DUP
Chr3	13377401	13377808	407	TL
Chr3	13378733	13380490	1757	DUP
Chr3	13395308	13395368	60	DEL
Chr3	13394576	13395852	1276	DUP
